{'loss': 0.0001, 'grad_norm': 0.10754206031560898, 'learning_rate': 5.783844550577945e-06, 'num_tokens': 4242005.0, 'completions/mean_length': 569.25, 'completions/min_length': 499.0, 'completions/max_length': 680.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 569.25, 'completions/min_terminated_length': 499.0, 'completions/max_terminated_length': 680.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 68.25, 'rewards/score_reward/std': 4.949747562408447, 'reward': 97.0, 'reward_std': 5.656854152679443, 'frac_reward_zero_std': 0.0, 'completion_length': 569.25, 'kl': 0.05077705904841423, 'epoch': 1.08}
{'loss': 0.0, 'grad_norm': 0.07188020646572113, 'learning_rate': 5.7762664504230965e-06, 'num_tokens': 4250257.0, 'completions/mean_length': 645.5, 'completions/min_length': 452.0, 'completions/max_length': 1044.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 645.5, 'completions/min_terminated_length': 452.0, 'completions/max_terminated_length': 1044.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 54.6875, 'rewards/score_reward/std': 22.793228149414062, 'reward': 84.6875, 'reward_std': 22.793228149414062, 'frac_reward_zero_std': 0.0, 'completion_length': 645.5, 'kl': 0.03706785663962364, 'epoch': 1.08}
{'loss': 0.0, 'grad_norm': 0.0961134284734726, 'learning_rate': 5.7686804004941255e-06, 'num_tokens': 4258101.0, 'completions/mean_length': 607.5, 'completions/min_length': 414.0, 'completions/max_length': 703.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 607.5, 'completions/min_terminated_length': 414.0, 'completions/max_terminated_length': 703.0, 'rewards/format_reward/mean': 8.75, 'rewards/format_reward/std': 3.535534143447876, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 59.953704833984375, 'rewards/score_reward/std': 24.495248794555664, 'reward': 88.70370483398438, 'reward_std': 24.76778221130371, 'frac_reward_zero_std': 0.0, 'completion_length': 607.5, 'kl': 0.04677116870880127, 'epoch': 1.08}
{'loss': 0.0, 'grad_norm': 0.09074493497610092, 'learning_rate': 5.761086434742798e-06, 'num_tokens': 4266187.0, 'completions/mean_length': 607.75, 'completions/min_length': 437.0, 'completions/max_length': 738.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 607.75, 'completions/min_terminated_length': 437.0, 'completions/max_terminated_length': 738.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 44.147727966308594, 'rewards/score_reward/std': 27.39414405822754, 'reward': 74.1477279663086, 'reward_std': 27.39414405822754, 'frac_reward_zero_std': 0.0, 'completion_length': 607.75, 'kl': 0.030946506187319756, 'epoch': 1.09}
{'loss': 0.0001, 'grad_norm': 0.12210497260093689, 'learning_rate': 5.753484587156309e-06, 'num_tokens': 4272845.0, 'completions/mean_length': 491.25, 'completions/min_length': 353.0, 'completions/max_length': 692.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 491.25, 'completions/min_terminated_length': 353.0, 'completions/max_terminated_length': 692.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 61.25, 'rewards/score_reward/std': 16.49302864074707, 'reward': 91.25, 'reward_std': 16.493030548095703, 'frac_reward_zero_std': 0.0, 'completion_length': 491.25, 'kl': 0.05262186378240585, 'epoch': 1.09}
{'loss': 0.0, 'grad_norm': 0.13038113713264465, 'learning_rate': 5.745874891757129e-06, 'num_tokens': 4279579.0, 'completions/mean_length': 477.75, 'completions/min_length': 331.0, 'completions/max_length': 637.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 477.75, 'completions/min_terminated_length': 331.0, 'completions/max_terminated_length': 637.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 27.943546295166016, 'rewards/score_reward/std': 23.30882453918457, 'reward': 57.943546295166016, 'reward_std': 23.308822631835938, 'frac_reward_zero_std': 0.0, 'completion_length': 477.75, 'kl': 0.04085378348827362, 'epoch': 1.09}
{'loss': 0.0, 'grad_norm': 0.09130606055259705, 'learning_rate': 5.73825738260285e-06, 'num_tokens': 4288418.0, 'completions/mean_length': 670.875, 'completions/min_length': 506.0, 'completions/max_length': 957.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 670.875, 'completions/min_terminated_length': 506.0, 'completions/max_terminated_length': 957.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 63.605770111083984, 'rewards/score_reward/std': 8.506219863891602, 'reward': 93.60577392578125, 'reward_std': 8.506217956542969, 'frac_reward_zero_std': 0.0, 'completion_length': 670.875, 'kl': 0.04412202164530754, 'epoch': 1.09}
{'loss': 0.0, 'grad_norm': 0.08854838460683823, 'learning_rate': 5.730632093786033e-06, 'num_tokens': 4297010.0, 'completions/mean_length': 644.0, 'completions/min_length': 496.0, 'completions/max_length': 831.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 644.0, 'completions/min_terminated_length': 496.0, 'completions/max_terminated_length': 831.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 44.264705657958984, 'rewards/score_reward/std': 27.600086212158203, 'reward': 74.26470947265625, 'reward_std': 27.600086212158203, 'frac_reward_zero_std': 0.0, 'completion_length': 644.0, 'kl': 0.03747452422976494, 'epoch': 1.09}
{'loss': 0.0, 'grad_norm': 0.09257416427135468, 'learning_rate': 5.722999059434064e-06, 'num_tokens': 4305910.0, 'completions/mean_length': 675.5, 'completions/min_length': 532.0, 'completions/max_length': 801.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 675.5, 'completions/min_terminated_length': 532.0, 'completions/max_terminated_length': 801.0, 'rewards/format_reward/mean': 10.0, 'rewards/format_reward/std': 0.0, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 31.325000762939453, 'rewards/score_reward/std': 34.046512603759766, 'reward': 61.32500076293945, 'reward_std': 34.046512603759766, 'frac_reward_zero_std': 0.0, 'completion_length': 675.5, 'kl': 0.04645361751317978, 'epoch': 1.1}
{'loss': 0.0001, 'grad_norm': 0.13188110291957855, 'learning_rate': 5.715358313708989e-06, 'num_tokens': 4311827.0, 'completions/mean_length': 403.625, 'completions/min_length': 218.0, 'completions/max_length': 644.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 403.625, 'completions/min_terminated_length': 218.0, 'completions/max_terminated_length': 644.0, 'rewards/format_reward/mean': 7.5, 'rewards/format_reward/std': 4.629100322723389, 'rewards/sorted_events_reward/mean': 20.0, 'rewards/sorted_events_reward/std': 0.0, 'rewards/score_reward/mean': 21.064815521240234, 'rewards/score_reward/std': 29.606761932373047, 'reward': 48.56481170654297, 'reward_std': 26.733043670654297, 'frac_reward_zero_std': 0.0, 'completion_length': 403.625, 'kl': 0.05550309643149376, 'epoch': 1.1}
